title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,object_thumb,object_download,reference_url
"Destroyed industrial area shoing smoke stacks still standing. 0.51 mile from ground zero at Nagasaki.","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_11","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_011_th.jpg","/ug31_folder167_011.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima011.html"
"Human Shadow imprinted on step stone of the Sumitomo Bank, 450 meters from hypocenter","","1945","","Atomic bomb--Blast effect","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_12","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_012_th.jpg","/ug31_folder167_012.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima012.html"
"Gate posts marking front entrance to Hiroshima Army Hospital, 950 meters from Hypocenter","","1945","","Atomic bomb; rubble","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_13","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_013_th.jpg","/ug31_folder167_013.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima013.html"
"Shadow of hand vlave wheel on paint of gas holder at Hiroshima. Radiant heat instantly burned paint where the heat rays were not obstructed, 6300 feet from ground zero.","","1945","","Atomic bomb--Blast effect","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_14","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_014_th.jpg","/ug31_folder167_014.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima014.html"
"Pressure of the blast bent the steel frame of the Mitsubishi Steel Works, 2400 feet south of ground zero at Nagasaki, away from the explosion.","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_15","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_015_th.jpg","/ug31_folder167_015.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima015.html"
"Heavy walls of the vault are all that remain of the Koa Fire Insurance Company, 1300 feet from ground zero","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_16","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_016_th.jpg","/ug31_folder167_016.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima016.html"
"Collapsed band buildings, 400 meters from hypocenter","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_17","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_017_th.jpg","/ug31_folder167_017.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima017.html"
"Electic lines snapped by the blast, 700 meters from hypocenter","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_18","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_018_th.jpg","/ug31_folder167_018.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima018.html"
"Shadows left by nine pedestrians on Yorozuyo-Bashi Bridge, 910 meters from hypocenter","","1945","","Atomic bomb--Blast effect","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_19","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_019_th.jpg","/ug31_folder167_019.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima019.html"
"Northern sector as viewed from City Hall","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_20","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_020_th.jpg","/ug31_folder167_020.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima020.html"
"Blast-flattened Shimomura Watchmakers, Hirataya-Cho, 600 meters from hypocenter","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_21","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_021_th.jpg","/ug31_folder167_021.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima021.html"
"Near Takeya-Cho","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_22","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_022_th.jpg","/ug31_folder167_022.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima022.html"
"Shima Surgical Hospital, Hiroshima, 100 feet from Ground Zero.","","1945","","Atomic bomb; rubble","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_23","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_023_th.jpg","/ug31_folder167_023.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima023.html"
"Hirataya-Cho, 450 meters from hypocenter","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_24","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_024_th.jpg","/ug31_folder167_024.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima024.html"
"Tokaichi-machi, 700 meters from hypocenter","","1945","","Atomic bomb; rubble","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_25","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_025_th.jpg","/ug31_folder167_025.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima025.html"
"Hiroshima before bombing, 1000 foot circles","","1945","","Atomic bomb","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_26","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_026_th.jpg","/ug31_folder167_026.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima026.html"
"Hiroshima after bombing, 1000 foot cirlces","","1945","","Atomic bomb","Hiroshima, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_27","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_027_th.jpg","/ug31_folder167_027.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima027.html"
"Explosion at Nagasaki","","1945","","Atomic bomb; explosions","Nagasaki, Japan","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_28","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_028_th.jpg","/ug31_folder167_028.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima028.html"
"Shallow underground explosion. The radioactivity and the ground dirt are thoroughly mixed","","1945","","Atomic bomb--Testing; explosions","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_29","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_029_th.jpg","/ug31_folder167_029.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima029.html"
"Radioactive cloud and first stages of the base surge following an underwater burst. Water is beginning to fall back from the column into the lagoon.","","1945","","Atomic bomb--Testing; explosions","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_30","image;stillimage","image/jpg","eng","Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_030_th.jpg","/ug31_folder167_030.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima030.html"
"Condensation cloud formed after a shallow underwater explosion. (Slick due to the shock wave, can be seen on the water surface)","","1945","","Atomic bomb--Testing; explosions","","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_31","image;stillimage","image/jpg","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_031_th.jpg","/ug31_folder167_031.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima031.html"
"Test at Trinity: 016 seconds after detonation","","1945","","Atomic bomb--Testing; explosions","Jornada del Muerto, New Mexico","","","UG 31, William Edgar Borah Outlawry of War Foundation. Records, 1931-1987, University of Idaho Library Special Collections and Archives","UG31_167_32","image;stillimage","image/jpg","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ug31_folder167_032_th.jpg","/ug31_folder167_032.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima032.html"
"Letter from Hiroshima University President, Tatsuo Morito, to the University of Idaho","Morito, Tatsuo","1/25/1951","Letter from Hiroshima University President, Tatsuo Morito, requesting assistance in rebuilding Hiroshima University&#39;s library and campus.","correspondence; Reconstruction (1939-1951)--Japan","","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_01","image;stillimage","application/pdf","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_01_th.jpg","/ma2019-39_01.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima033.html"
"Letter from Rebun Kayo (English)","Kayo, Rebun","2011","","correspondence; Reconstruction (1939-1951)--Japan","","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_02","image;stillimage","application/pdf","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_02_th.jpg","/ma2019-39_02.pdf","https://dersuchendee.github.io/trovalarana/items/hiroshima034.html"
"Letter from Rebun Kayo (Japanese)","Kayo, Rebun","2011","","correspondence; Reconstruction (1939-1951)--Japan","","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_03","image;stillimage","image/jpg","jpn","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_03_th.jpg","/ma2019-39_03.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima035.html"
"Letter from Professor Deters to President Morito","Deters, Merrill E.","1951-04-31","","correspondence; Reconstruction (1939-1951)--Japan","","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_04","image;stillimage","image/jpg","eng","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_04_th.jpg","/ma2019-39_04.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima036.html"
"Letter from President Morito to Professor Deters","Morito, Tatsuo","7/11/1951","","correspondence; Reconstruction (1939-1951)--Japan","","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_05","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_05_th.jpg","/ma2019-39_05.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima037.html"
"Roof Tile","","1945","","roofing tile; world wars; Atomic bomb; rubble;","Hiroshima, Japan","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_06","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_06_th.jpg","/ma2019-39_06.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima038.html"
"Roof Tile","","1945","","roofing tile; world wars; Atomic bomb; rubble","Hiroshima, Japan","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_07","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_07_th.jpg","/ma2019-39_07.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima039.html"
"Roof Tile","","1945","","roofing tile; world wars; Atomic bomb; rubble","Hiroshima, Japan","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_08","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_08_th.jpg","/ma2019-39_08.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima040.html"
"Roof Tile","","1945","","roofing tile; world wars; Atomic bomb; rubble","Hiroshima, Japan","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_09","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_09_th.jpg","/ma2019-39_09.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima041.html"
"Roof Tile","","1945","","roofing tile; world wars; Atomic bomb; rubble","Hiroshima, Japan","","","MA 2019-39, Hiroshima University. Collection, University of Idaho Library Special Collections and Archives","MA2019-39_10","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/ma2019-39_10_th.jpg","/ma2019-39_10.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima042.html"
"Buildings at Kooskia showing bridge","","1943/1944","","concentration camps; relocation; japanese americans;","Kooskia, Idaho","","","PG 103, Kooskia Internment Camp. Scrapbook, University of Idaho Library Special Collections and Archives","PG103_01_02","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/pg103_01_02_th.jpg","/pg103_01_02.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima043.html"
"Sign at entrance of camp in Kooskia","","1943/1944","","concentration camps; relocation; japanese americans;","Kooskia, Idaho","","","PG 103, Kooskia Internment Camp. Scrapbook, University of Idaho Library Special Collections and Archives","PG103_01_03","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/pg103_01_03_th.jpg","/pg103_01_03.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima044.html"
"Sawing wood at Kooskia","","1943/1944","","concentration camps; relocation; japanese americans;","Kooskia, Idaho","","","PG 103, Kooskia Internment Camp. Scrapbook, University of Idaho Library Special Collections and Archives","PG103_01_17","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/pg103_01_17_th.jpg","/pg103_01_17.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima045.html"
"Digging in Kooskia","","1943/1944","","concentration camps; relocation; japanese americans;","Kooskia, Idaho","","","PG 103, Kooskia Internment Camp. Scrapbook, University of Idaho Library Special Collections and Archives","PG103_01_26","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/pg103_01_26_th.jpg","/pg103_01_26.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima046.html"
"Borah Foundation Peace Walk: Red Barron Crabapple","","1994","","peace; trees","University of Idaho Arboretum","","","","1994_RedBarronCrabapple_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/1994_redbarroncrabapple_01_th.jpg","/1994_redbarroncrabapple_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima047.html"
"Borah Foundation Peace Walk: Weeping European Larch","","1995","","peace; trees","University of Idaho Arboretum","","","","1995_WeepingEuropeanLarch_01","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/1995_weepingeuropeanlarch_01_th.jpg","/1995_weepingeuropeanlarch_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima048.html"
"Borah Foundation Peace Walk: Turkish Filbert","","1996","","peace; trees","University of Idaho Arboretum","","","","1996_TurkishFilbert_01.","image;stillimage","image/jpg","","Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","","/thumbs/1996_turkishfilbert_01_th.jpg","/1996_turkishfilbert_01.jpg","https://dersuchendee.github.io/trovalarana/items/hiroshima049.html"
